target,model,valid_rows,positive_rate,auc_roc,average_precision,ap_skill_vs_random
Incidence: attack next month,With text topics,3588,0.2879041248606466,0.938675375997181,0.8928847933217864,3.101326852312265
Incidence: attack next month,Without text topics,3588,0.2879041248606466,0.9376044541860293,0.893395749224022,3.103101595562237
Onset: attack in next 3 months,With text topics,2324,0.20567986230636834,0.8432854934563934,0.6549520622439688,3.1843275996966183
Onset: attack in next 3 months,Without text topics,2324,0.20567986230636834,0.8408545900442888,0.6553650635861892,3.18633558111779
Incidence: attack next month,Text gain,3588,0.2879041248606466,0.0010709218111516483,-0.0005109559022355992,
Onset: attack in next 3 months,Text gain,2324,0.20567986230636834,0.0024309034121046125,-0.0004130013422203316,
